Entry	Gene Names (ordered locus)	Entry Name	Gene Ontology IDs	InterPro	Keywords
P76518	b2371 JW2368	ACOCT_ECOLI	GO:0036412	IPR003673;IPR044855;IPR023606;	3D-structure;Reference proteome;Transferase
P76524	b2385 JW2382	YPDF_ECOLI	GO:0004177; GO:0006508; GO:0046914; GO:0070006	IPR029149;IPR036005;IPR000587;IPR000994;IPR001714;	3D-structure;Aminopeptidase;Hydrolase;Protease;Reference proteome
P76540	b2438 JW2431	EUTK_ECOLI	GO:0010165; GO:0031469; GO:0046336	IPR020808;IPR000249;IPR037233;IPR044872;IPR032298;IPR036388;	3D-structure;Bacterial microcompartment;Reference proteome
P76542	b2442	INTZ_ECOLI	GO:0003677; GO:0006310; GO:0015074; GO:0044826; GO:0046718; GO:0075713	IPR044068;IPR011010;IPR013762;IPR002104;IPR038488;IPR025166;IPR010998;	DNA integration;DNA recombination;DNA-binding;Reference proteome;Viral genome integration;Virus entry into host cell
P76551	b2451 JW2435	EUTA_ECOLI	GO:0030091; GO:0031469; GO:0046336; GO:0051349	IPR043129;IPR009377;	Bacterial microcompartment;Chaperone;Direct protein sequencing;Reference proteome
P76552	b2452 JW2436	EUTH_ECOLI	GO:0005886; GO:0016021; GO:0034228; GO:0046336	IPR007441;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P76553	b2453 JW2437	EUTG_ECOLI	GO:0004022; GO:0016616; GO:0031469; GO:0046336; GO:0046872	IPR001670;IPR018211;IPR039697;	Bacterial microcompartment;Iron;Metal-binding;NAD;Oxidoreductase;Reference proteome
P76555	b2460 JW2444	EUTQ_ECOLI	GO:0008776; GO:0016310; GO:0031469; GO:0046336	IPR010424;IPR014710;IPR011051;	Bacterial microcompartment;Kinase;Reference proteome;Transferase
P76556	b2461 JW2445	EUTP_ECOLI	GO:0005524; GO:0008776; GO:0016310; GO:0031469; GO:0046336	IPR012381;IPR027417;	ATP-binding;Bacterial microcompartment;Kinase;Nucleotide-binding;Reference proteome;Transferase
P76655	b3046 JW5507	YQIG_ECOLI	GO:0009279; GO:0009297; GO:0015473; GO:0016021	IPR000015;IPR018030;IPR042186;IPR025949;IPR043142;IPR025885;IPR037224;	Cell outer membrane;Disulfide bond;Fimbrium biogenesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P76909	b1756 JW5286	YNJD_ECOLI	GO:0005524; GO:0016020; GO:0055052; GO:0055085	IPR003593;IPR003439;IPR017871;IPR027417;	ATP-binding;Nucleotide-binding;Reference proteome;Transport
P77156	b1442 JW1437	YDCU_ECOLI	GO:0005887; GO:0016020; GO:0055052; GO:0055085	IPR000515;IPR035906;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77170	b1545 JW1538	PINQ_ECOLI	GO:0000150; GO:0003677; GO:0006310; GO:0015074; GO:0016787; GO:0016874	IPR009057;IPR006118;IPR006119;IPR036162;IPR006120;	DNA integration;DNA invertase;DNA recombination;DNA-binding;Hydrolase;Ligase;Reference proteome
P77171	b1422 JW5226	YDCI_ECOLI	GO:0003677; GO:0003700; GO:0005829; GO:0006355; GO:0043565; GO:0045892	IPR005119;IPR000847;IPR036388;IPR036390;	DNA-binding;Reference proteome;Transcription;Transcription regulation
P77179	b1632 JW1624	RSXE_ECOLI	GO:0005886; GO:0016021; GO:0022900	IPR003667;IPR010968;	Cell inner membrane;Cell membrane;Electron transport;Membrane;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
P77183	b0283 JW0277	PAOD_ECOLI	GO:0043546	IPR003777;IPR027051;	Chaperone;Reference proteome
P77196	b4661 JW2334/JW2335	YFCU_ECOLI	GO:0009279; GO:0009297; GO:0015473; GO:0016021	IPR000015;IPR018030;IPR042186;IPR025949;IPR043142;IPR025885;IPR037224;	Cell outer membrane;Fimbrium biogenesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P77213	b0581 JW0570	GCS2_ECOLI	GO:0004357; GO:0005524; GO:0016879; GO:0042398	IPR006336;IPR014746;IPR011793;	3D-structure;ATP-binding;Ligase;Nucleotide-binding;Reference proteome
P77223	b1628 JW1620	RSXB_ECOLI	GO:0005886; GO:0009055; GO:0046872; GO:0051539	IPR007202;IPR017896;IPR017900;IPR010207;IPR016463;	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Translocase;Transport
P77228	b1543 JW1536	YDFJ_ECOLI	GO:0005267; GO:0005886; GO:0015293; GO:0016021	IPR011701;IPR020846;IPR005828;IPR036259;IPR004736;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport
P77231	b0613 JW0605	CITG_ECOLI	GO:0005524; GO:0016310; GO:0046917; GO:0051191	IPR002736;IPR017551;	ATP-binding;Nucleotide-binding;Reference proteome;Transferase
P77249	b0531 JW0520	SFMC_ECOLI	GO:0030288; GO:0061077; GO:0071555	IPR013783;IPR008962;IPR036316;IPR001829;IPR016148;IPR018046;IPR016147;	Chaperone;Fimbrium biogenesis;Immunoglobulin domain;Periplasm;Reference proteome;Signal
P77265	b0448 JW0438	MDLA_ECOLI	GO:0005524; GO:0005886; GO:0008559; GO:0016021; GO:0042626; GO:0055085	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR027417;IPR039421;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
P77268	b1484 JW1479	DDPD_ECOLI	GO:0005524; GO:0015031; GO:0016020; GO:0042938; GO:0055052	IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Transport
P77269	b2548 JW2532	YPHF_ECOLI	GO:0016020; GO:0030246; GO:0030288; GO:0055052; GO:0055085	IPR028082;IPR025997;	Direct protein sequencing;Periplasm;Reference proteome;Signal;Transport
P77285	b1631 JW1623	RSXG_ECOLI	GO:0005886; GO:0009055; GO:0009279; GO:0010181; GO:0016021	IPR007329;IPR010209;	Cell inner membrane;Cell membrane;Electron transport;Flavoprotein;FMN;Membrane;Phosphoprotein;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
P77288	b2339 JW2336	YFCV_ECOLI	GO:0007155; GO:0009289; GO:0043709	IPR000259;IPR036937;IPR008966;	Reference proteome;Signal
P77293	b2351 JW2347	GTRB_ECOLI	GO:0005886; GO:0016021; GO:0016757	IPR001173;IPR029044;	Cell inner membrane;Cell membrane;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P77315	b2546 JW2530	YPHD_ECOLI	GO:0005886; GO:0005887; GO:0016020; GO:0016021; GO:0022857; GO:0055052; GO:0055085	IPR001851;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77318	b1498 JW5243	YDEN_ECOLI	GO:0004065; GO:0030288; GO:0046872	IPR017850;IPR024607;IPR000917;	Calcium;Hydrolase;Metal-binding;Reference proteome;Signal
P77319	b0650 JW0645	HSCC_ECOLI	GO:0005524; GO:0005829; GO:0016887; GO:0140662	IPR043129;IPR018181;IPR042030;IPR029047;IPR013126;	ATP-binding;Chaperone;Nucleotide-binding;Reference proteome;Stress response
P77365	b0251 JW0240	YAFY_ECOLI	GO:0005886		Cell inner membrane;Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P77368	b0545 JW0533	YBCL_ECOLI	GO:0030288; GO:0043086	IPR008914;IPR036610;IPR005247;	3D-structure;Disulfide bond;Periplasm;Reference proteome;Signal
P77375	b1671 JW5271	YDHX_ECOLI	GO:0030288; GO:0046872; GO:0051539	IPR017896;IPR017900;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repeat;Signal
P77377	b2046 JW2031	WZXC_ECOLI	GO:0005886; GO:0005887; GO:0009103; GO:0009242		Cell inner membrane;Cell membrane;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P77390	b0618 JW0610	CITC_ECOLI	GO:0005524; GO:0008080; GO:0008771; GO:0009058; GO:0036211	IPR016181;IPR005216;IPR013166;IPR004821;IPR000182;IPR014729;	ATP-binding;Ligase;Nucleotide-binding;Reference proteome
P77400	b0486 JW0475	YBAT_ECOLI	GO:0005886; GO:0006865; GO:0009268; GO:0016021; GO:0022857; GO:1990169	IPR002293;	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77409	b1670 JW1660	YDHU_ECOLI	GO:0005886; GO:0005887; GO:0009055; GO:0020037; GO:0022904; GO:0046872	IPR011577;IPR016174;	Cell inner membrane;Cell membrane;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix
P77416	b2484 JW2469	HYFD_ECOLI	GO:0003954; GO:0005887; GO:0006007; GO:0008137; GO:0009061; GO:0009326; GO:0015944; GO:0015990; GO:0016020; GO:0019645; GO:0042773	IPR001750;IPR003945;IPR001516;	Cell inner membrane;Cell membrane;Membrane;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
P77432	b1511 JW1504	LSRK_ECOLI	GO:0005737; GO:0005975; GO:0009372; GO:0016310; GO:0016773; GO:0044010; GO:0071518	IPR033676;IPR043129;IPR000577;IPR018485;IPR018484;	3D-structure;Cytoplasm;Kinase;Reference proteome;Transferase
P77437	b2486 JW2471	HYFF_ECOLI	GO:0005887; GO:0006007; GO:0006974; GO:0009061; GO:0009326; GO:0015944; GO:0016020; GO:0016491; GO:0019645	IPR001750;IPR001516;	Cell inner membrane;Cell membrane;Membrane;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
P77445	b2455 JW2439	EUTE_ECOLI	GO:0004029; GO:0008774; GO:0031469; GO:0046336	IPR012408;IPR016161;IPR016163;IPR016162;IPR015590;	Bacterial microcompartment;NAD;Oxidoreductase;Reference proteome
P77468	b0532 JW0521	SFMD_ECOLI	GO:0009279; GO:0009297; GO:0015473; GO:0016021	IPR000015;IPR018030;IPR042186;IPR025949;IPR043142;IPR025885;IPR037224;	Cell outer membrane;Disulfide bond;Fimbrium biogenesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P77473	b0457 JW5062	PDEB_ECOLI	GO:0005886; GO:0016021; GO:0071111	IPR024744;IPR001633;IPR035919;	c-di-GMP;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P77481	b4524 JW1311/JW5203	YCJV_ECOLI	GO:0005524; GO:0008643; GO:0016020; GO:0055052; GO:0055085; GO:0140359	IPR003593;IPR003439;IPR017871;IPR015855;IPR008995;IPR012340;IPR040582;IPR027417;IPR005116;	ATP-binding;Nucleotide-binding;Reference proteome;Transport
P77494	b4428 JW5225	HOKB_ECOLI	GO:0005887; GO:0022611	IPR000021;IPR018084;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Toxin-antitoxin system;Transmembrane;Transmembrane helix
P77509	b2547 JW2531	YPHE_ECOLI	GO:0005524; GO:0016020; GO:0055052; GO:0055085	IPR003593;IPR003439;IPR017871;IPR027417;	ATP-binding;Nucleotide-binding;Reference proteome;Repeat;Transport
P77549	b2322 JW2319	YFCJ_ECOLI	GO:0005886; GO:0005887; GO:0022857	IPR011701;IPR020846;IPR036259;IPR037541;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77561	b1501 JW1495	YDEP_ECOLI	GO:0008863; GO:0010447; GO:0030151; GO:0043546; GO:0051539	IPR009010;IPR037951;IPR006657;IPR006656;IPR010046;IPR041953;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Molybdenum;Oxidoreductase;Reference proteome
P77579	b2386 JW2383	PTFC1_ECOLI	GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:0090563	IPR003352;IPR013014;	Cell inner membrane;Cell membrane;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport
P77596	b0269 JW0262	YAGF_ECOLI	GO:0005829; GO:0016836; GO:0046176; GO:0050401	IPR017798;IPR042096;IPR000581;IPR020558;IPR037237;	Lyase;Reference proteome
P77599	b2336 JW2333	YFCS_ECOLI	GO:0030288; GO:0061077; GO:0071555	IPR013783;IPR008962;IPR036316;IPR001829;IPR016148;IPR018046;IPR016147;	Chaperone;Fimbrium biogenesis;Immunoglobulin domain;Periplasm;Reference proteome;Signal
P77611	b1629 JW1621	RSXC_ECOLI	GO:0005886; GO:0009055; GO:0046872; GO:0051539	IPR017896;IPR017900;IPR010208;IPR011538;IPR037225;IPR026902;IPR019554;	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Translocase;Transport
P77622	b1483 JW1478	DDPF_ECOLI	GO:0005524; GO:0015031; GO:0016020; GO:0042938; GO:0055052	IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Transport
P77626	b1434 JW1430	SUTR_ECOLI	GO:0003677; GO:0003700; GO:0006355; GO:0043565; GO:0045892; GO:0045893	IPR001387;IPR013096;IPR010982;IPR014710;IPR011051;	Activator;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation
P77672	b1514 JW1507	LSRC_ECOLI	GO:0005886; GO:0009372; GO:0016020; GO:0016021; GO:0022857; GO:0055052; GO:1905887	IPR001851;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77682	b2350 JW2346	GTRA_ECOLI	GO:0000271; GO:0005886; GO:0006783; GO:0008883; GO:0016021; GO:0050661	IPR016480;IPR007267;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77689	b1681 JW1671	SUFD_ECOLI	GO:0006979; GO:0016226; GO:1990229	IPR000825;IPR037284;IPR011542;	3D-structure;Reference proteome
P77692	b0245 JW0234	YKFI_ECOLI	GO:0030308	IPR009610;	Reference proteome;Toxin-antitoxin system
P77716	b1312 JW1305	YCJP_ECOLI	GO:0005886; GO:0016020; GO:0055052; GO:0055085	IPR000515;IPR035906;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77733	b2492 JW2477	FOCB_ECOLI	GO:0005886; GO:0005887; GO:0015499; GO:0015724; GO:0019664	IPR023271;IPR000292;IPR024002;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P77735	b0419 JW0409	YAJO_ECOLI	GO:0005829; GO:0006772; GO:0016491	IPR020471;IPR023210;IPR036812;	Oxidoreductase;Reference proteome
P77737	b1247 JW1239	OPPF_ECOLI	GO:0005524; GO:0005886; GO:0015031; GO:0016020; GO:0055052; GO:0140205; GO:0140207	IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Transport
P77744	b1339 JW1333	ABGR_ECOLI	GO:0000976; GO:0003700; GO:0006355	IPR005119;IPR000847;IPR036388;IPR036390;	DNA-binding;Reference proteome;Transcription;Transcription regulation
P77756	b0444 JW0434	QUEC_ECOLI	GO:0005524; GO:0008270; GO:0008616; GO:0016879	IPR018317;IPR014729;	ATP-binding;Ligase;Metal-binding;Nucleotide-binding;Queuosine biosynthesis;Reference proteome;Zinc
P77768	b2305 JW2302	RPNB_ECOLI	GO:0006310; GO:1990238	IPR010106;IPR006842;	DNA recombination;Endonuclease;Hydrolase;Magnesium;Nuclease;Reference proteome
P77795	b1441 JW1436	YDCT_ECOLI	GO:0005524; GO:0016020; GO:0022857; GO:0055052; GO:0055085	IPR003593;IPR003439;IPR017871;IPR008995;IPR027417;IPR013611;	ATP-binding;Nucleotide-binding;Reference proteome;Transport
P77804	b1614 JW1606	YDGA_ECOLI	GO:0005886; GO:0042802; GO:0071978	IPR010352;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Signal
P78067	b1757 JW5287	YNJE_ECOLI	GO:0004792; GO:0016783; GO:0019346; GO:0042597	IPR001763;IPR036873;IPR001307;IPR045078;	3D-structure;Periplasm;Reference proteome;Repeat;Signal;Transferase
Q46798	b2865 JW2833	YGER_ECOLI	GO:0000920; GO:0004222; GO:0005886; GO:0009279; GO:0032153	IPR011055;IPR018392;IPR036779;IPR016047;	Cell inner membrane;Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
Q46801	b2868 JW2836	XDHC_ECOLI	GO:0002197; GO:0005737; GO:0006166; GO:0009114; GO:0016491; GO:0046872; GO:0051537	IPR002888;IPR036884;IPR036010;IPR001041;IPR012675;	2Fe-2S;Iron;Iron-sulfur;Metal-binding;Purine metabolism;Purine salvage;Reference proteome
Q46802	b2869 JW2837	UACR_ECOLI	GO:0005524; GO:0006355; GO:0019628; GO:0043565	IPR003593;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR002078;IPR025662;IPR025943;IPR025944;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation
Q46803	b2870 JW5463	YGEW_ECOLI	GO:0004585; GO:0016597; GO:0019240; GO:0042450	IPR006132;IPR006130;IPR036901;IPR006131;IPR017702;	3D-structure;Reference proteome;Transferase
Q46811	b2878 JW5923	YGFK_ECOLI	GO:0005506; GO:0006537; GO:0015930; GO:0016491; GO:0019676; GO:0051539	IPR017896;IPR017900;IPR028261;IPR036188;IPR023753;IPR009051;IPR017701;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Reference proteome
Q46814	b2881 JW2849	XDHD_ECOLI	GO:0005506; GO:0006144; GO:0006166; GO:0016491; GO:0051537	IPR002888;IPR036884;IPR000674;IPR036856;IPR016208;IPR008274;IPR037165;IPR017699;	2Fe-2S;Iron;Iron-sulfur;Metal-binding;Molybdenum;Oxidoreductase;Purine metabolism;Purine salvage;Reference proteome
Q46820	b2887 JW5469	UACF_ECOLI	GO:0016491; GO:0046872; GO:0051539	IPR017896;IPR017900;IPR028261;IPR036188;IPR023753;IPR006006;IPR009051;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome;Repeat
Q46836	b2972 JW2939	PPPA_ECOLI	GO:0004175; GO:0004190; GO:0005886; GO:0006465; GO:0016021	IPR010627;IPR014032;IPR000045;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q46863	b3020 JW2988	YGIS_ECOLI	GO:0015721; GO:0015833; GO:0030288; GO:0043190; GO:1904680	IPR030678;IPR039424;IPR000914;	Periplasm;Reference proteome;Signal;Transport
Q46888	b2736 JW2706	LTND_ECOLI	GO:0005975; GO:0016054; GO:0016616; GO:0050661; GO:0051287	IPR002204;IPR008927;IPR013328;IPR006115;IPR015815;IPR036291;IPR029154;	Carbohydrate metabolism;NAD;NADP;Oxidoreductase;Reference proteome
Q46889	b2737 JW2707	OTNK_ECOLI	GO:0005524; GO:0005975; GO:0016301; GO:0016310	IPR037051;IPR010737;IPR031475;IPR042213;	ATP-binding;Carbohydrate metabolism;Kinase;Nucleotide-binding;Reference proteome;Transferase
Q46890	b2738 JW2708	OTNC_ECOLI	GO:0005829; GO:0016832; GO:0019323; GO:0046872	IPR001303;IPR036409;	3D-structure;Carbohydrate metabolism;Lyase;Metal-binding;Reference proteome;Zinc
Q46891	b2739 JW2709	OTNI_ECOLI	GO:0005975; GO:0008903; GO:0046487; GO:0046872	IPR026040;IPR036237;IPR013022;	3D-structure;Carbohydrate metabolism;Isomerase;Magnesium;Metal-binding;Reference proteome
Q46915	b2788 JW2759	GUDX_ECOLI	GO:0009063; GO:0016829; GO:0044248; GO:0046872	IPR036849;IPR029017;IPR029065;IPR034598;IPR018110;IPR013342;IPR034593;IPR013341;	3D-structure;Direct protein sequencing;Lyase;Magnesium;Metal-binding;Reference proteome
Q46939	b2844 JW5453	YQEF_ECOLI	GO:0003985; GO:0003988; GO:0005737; GO:0006635; GO:0071271	IPR002155;IPR016039;IPR020615;IPR020610;IPR020617;IPR020613;IPR020616;	Acyltransferase;Cytoplasm;Reference proteome;Transferase
Q46953	b2646 JW2627	YPJF_ECOLI		IPR009610;	Reference proteome;Toxin-antitoxin system
Q47005	b1988 JW1967	NAC_ECOLI	GO:0003677; GO:0003700; GO:0042128; GO:0045892; GO:0045893; GO:2000142	IPR005119;IPR000847;IPR036388;IPR036390;	Activator;DNA-binding;Nitrate assimilation;Reference proteome;Repressor;Transcription;Transcription regulation
Q47013	b2269 JW5840	ELAD_ECOLI	GO:0008234; GO:0016579	IPR038765;IPR003653;	Hydrolase;Protease;Reference proteome;Thiol protease
Q47083	b1987 JW1966	CBL_ECOLI	GO:0000976; GO:0003700; GO:0006355; GO:0019344; GO:0045883	IPR037408;IPR005119;IPR000847;IPR036388;IPR036390;	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q47129	b1384 JW1379	FEAR_ECOLI	GO:0000987; GO:0003700; GO:0045893	IPR035418;IPR009057;IPR037923;IPR018060;IPR020449;	Activator;Direct protein sequencing;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q47141	b2537 JW2521	HCAR_ECOLI	GO:0003677; GO:0003700; GO:0006355; GO:0032993; GO:0045892; GO:0045893	IPR005119;IPR000847;IPR036388;IPR036390;	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q47142	b2536 JW2520	HCAT_ECOLI	GO:0005886; GO:0005887; GO:0015528; GO:0030395; GO:0071702	IPR026032;IPR024989;IPR036259;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport
Q47208	b0518 JW0506	FDRA_ECOLI	GO:0004775; GO:0004776; GO:0005829; GO:0005886; GO:0006099; GO:0009361; GO:0016021; GO:0071973	IPR003781;IPR005811;IPR016102;	3D-structure;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q47538	b0366 JW0358	TAUB_ECOLI	GO:0005524; GO:0010438; GO:0016020; GO:0055052	IPR003593;IPR003439;IPR017871;IPR015859;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport
Q47622	b1294 JW1287	SAPA_ECOLI	GO:0015833; GO:0016020; GO:0030288; GO:0055052; GO:1904680	IPR030678;IPR039424;IPR023765;IPR000914;	Periplasm;Reference proteome;Signal;Transport
Q47679	b0219 JW5019	YAFV_ECOLI	GO:0006807; GO:0050152; GO:0106008	IPR003010;IPR036526;IPR001110;	Hydrolase;Reference proteome
Q47689	b0260 JW5027	MMUP_ECOLI	GO:0000100; GO:0003333; GO:0005886; GO:0009086; GO:0015171; GO:0015806; GO:0016021	IPR004841;IPR004840;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q47706	b1615 JW1607	UIDC_ECOLI	GO:0006811; GO:0008643; GO:0009279; GO:0015288; GO:0046930	IPR005318;IPR023614;	Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Porin;Reference proteome;Signal;Sugar transport;Transmembrane;Transmembrane beta strand;Transport
Q57083	b0254 JW0244	PERR_ECOLI	GO:0003700; GO:0006351; GO:0042802; GO:0043565	IPR005119;IPR000847;IPR036388;IPR036390;	DNA-binding;Reference proteome;Transcription;Transcription regulation
Q6BEX0	b4485 JW5752	YTFR_ECOLI	GO:0005524; GO:0055052; GO:0103116; GO:0140271	IPR003593;IPR003439;IPR017871;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Repeat;Sugar transport;Translocase;Transport
A0A385XJ53	b4709	INSA9_ECOLI	GO:0006313	IPR024431;IPR003220;	DNA recombination;Reference proteome;Transposable element;Transposition
A0A385XJE6	b4711	INH21_ECOLI	GO:0003677; GO:0004803; GO:0006313	IPR002559;IPR008490;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition
A0A385XJL4	b4710	INSB9_ECOLI	GO:0003677; GO:0004803; GO:0006313	IPR005063;	DNA recombination;Reference proteome;Transposable element;Transposition
A0A7H2C767		A0A7H2C767_ECOLI	GO:0005524; GO:0005737; GO:0009408; GO:0016887; GO:0042026	IPR003593;IPR003959;IPR017730;IPR019489;IPR001270;IPR018368;IPR028299;IPR041546;IPR027417;	ATP-binding;Chaperone;Coiled coil;Nucleotide-binding;Reference proteome
A0A7H2C768		A0A7H2C768_ECOLI	GO:0005886; GO:0009276; GO:0015627; GO:0015628; GO:0016021	IPR025691;IPR007812;	Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
A0A7H2C769		A0A7H2C769_ECOLI	GO:0005886; GO:0006508; GO:0015627; GO:0015628; GO:0016021; GO:0016787	IPR036034;IPR024961;IPR001639;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
A0A7H2C7B0		A0A7H2C7B0_ECOLI	GO:0006448; GO:0019843; GO:0031556	IPR021237;	Leader peptide;Reference proteome;RNA-binding;rRNA-binding;Transcription;Transcription regulation;Translation regulation
A5A605	b4586	YKFM_ECOLI	GO:0006974; GO:0016021; GO:0046677		Membrane;Reference proteome;Transmembrane;Transmembrane helix
A5A615	b4598 JW1439.1	YNCL_ECOLI	GO:0005886; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
A5A624	b4613	DINQ_ECOLI	GO:0005886; GO:0006974; GO:0016020; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
A5A628	b4620	YJBT_ECOLI		IPR031382;	Reference proteome;Signal
A5A630	b4622	YTCA_ECOLI	GO:0005886; GO:0016021	IPR031381;	Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane helix
A8DYP9	b4637	LPFUR_ECOLI	GO:0006417		Leader peptide;Reference proteome
A8DYQ1	b4655 JW5769.1	YTHA_ECOLI	GO:0005886; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
C1P5Z7	b4662 JW0068.1	SGRT_ECOLI	GO:0004857; GO:0009401; GO:0046325		Phosphotransferase system;Reference proteome;Sugar transport;Transport
C1P5Z8	b4671 JW5035.1	YKGR_ECOLI	GO:0005886; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
C1P601	b4689 JW1545.1	RZOQ_ECOLI	GO:0005886		Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
C1P602	b4676 JW5292.1	YOAK_ECOLI	GO:0005886; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
C1P603	b4675 JW5292.2	YOAJ_ECOLI	GO:0005886; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
C1P608	b4668 JW2058.2	IBSB_ECOLI		IPR025881;	Reference proteome;Toxin-antitoxin system
C1P609	b4679 JW5358.1	YOHP_ECOLI	GO:0005886; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
